Id,Спальни,Ванные комнаты,Этажи,Площадь дома,Площадь земли,Площадь подвалов,Площадь домов соседей,Площадь земли соседей,Вид,Состояние,Качество,Год постройки,Год ремонта,Дата продажи,Цена продажи
9967,5,2.75,1.0,232,1838,0,158,1838,3.0,4.0,fair,1959.0,0,08.2014,989.0
12584,5,2.25,2.0,224,1115,0,193,1115,0.0,4.0,fair,1973.0,0,04.2015,802.0
5106,3,1.75,1.5,145,673,0,206,673,0.0,3.0,fair,1962.0,1985,10.2014,523.0
3211,2,2.0,1.0,109,767,0,126,767,0.0,3.0,fair,1941.0,0,08.2014,487.0
10901,4,1.75,1.0,171,892,58,164,892,0.0,3.0,fair,1967.0,0,05.2014,666.0
12493,3,1.75,1.0,202,6839,0,159,6839,0.0,3.0,fair,2008.0,0,05.2015,494.0
20376,5,2.75,2.0,314,760,0,264,760,0.0,3.0,fair,2011.0,0,01.2015,743.0
905,3,1.75,1.5,116,561,0,110,561,,,,1942.0,0,06.2014,656.0
19275,4,2.0,1.0,212,775,98,183,775,0.0,4.0,fair,1954.0,0,05.2015,893.0
21207,4,2.25,3.0,307,777,0,120,777,0.0,3.0,fair,2014.0,0,07.2014,941.0
1748,2,1.0,1.0,123,420,0,132,420,1.0,3.0,fair,1912.0,1971,05.2014,559.0
7812,3,1.75,1.0,162,801,46,184,801,0.0,4.0,fair,1978.0,0,04.2015,346.0
18301,3,2.5,2.0,187,483,0,173,483,0.0,3.0,fair,1989.0,0,09.2014,692.0
1406,3,2.5,2.0,117,358,0,122,358,0.0,3.0,fair,1999.0,0,08.2014,371.0
20571,3,1.5,2.0,121,133,17,123,133,0.0,3.0,fair,2007.0,0,03.2015,684.0
7280,6,4.25,2.0,509,17563,32,229,17563,0.0,4.0,fair,1991.0,0,12.2014,991.0
8472,3,2.5,2.0,142,467,0,135,467,0.0,3.0,fair,1998.0,0,10.2014,560.0
7185,3,2.5,2.0,156,628,0,173,628,0.0,3.0,fair,1994.0,0,05.2014,278.0
3411,2,1.0,1.0,116,355,37,127,355,0.0,3.0,fair,1929.0,0,07.2014,569.0
18217,4,2.25,1.5,211,879,70,164,879,0.0,4.0,fair,1940.0,0,02.2015,593.0
14827,2,2.0,2.0,139,1790,0,139,1790,4.0,3.0,fair,1943.0,1997,06.2014,576.0
17607,4,2.0,2.0,175,1361,0,163,1361,0.0,3.0,fair,1978.0,0,06.2014,504.0
17525,4,1.75,1.0,190,332,95,166,332,0.0,4.0,fair,1917.0,0,10.2014,613.0
4280,3,1.75,1.0,213,4168,84,224,4168,0.0,3.0,fair,1981.0,0,10.2014,557.0
17752,4,2.5,1.0,295,8812,117,241,8812,0.0,4.0,fair,1978.0,0,03.2015,989.0
21370,3,3.25,3.0,120,107,0,120,107,0.0,3.0,fair,2008.0,0,10.2014,410.0
1989,4,2.5,2.0,216,655,0,168,655,0.0,3.0,fair,1998.0,0,11.2014,415.0
12122,3,1.0,1.0,78,418,0,117,418,0.0,3.0,fair,1921.0,0,04.2015,310.0
17494,4,3.0,1.0,284,4645,56,255,4645,2.0,4.0,fair,1957.0,0,11.2014,1189.0
